timestamp,valor,datahora
1756017402293,23.5,24/08/2025 03:36
1756017412274,23.5,24/08/2025 03:36
1756017422273,23.6,24/08/2025 03:37
1756017432258,23.5,24/08/2025 03:37
1756017442269,23.5,24/08/2025 03:37
1756017452457,23.5,24/08/2025 03:37
1756017462262,23.6,24/08/2025 03:37
1756017472272,23.5,24/08/2025 03:37
1756017482290,23.5,24/08/2025 03:38
1756017492272,23.4,24/08/2025 03:38
1756017502270,23.6,24/08/2025 03:38
1756017512447,23.5,24/08/2025 03:38
1756017522462,23.5,24/08/2025 03:38
1756017532263,23.4,24/08/2025 03:38
1756017542454,23.5,24/08/2025 03:39
1756017552446,23.5,24/08/2025 03:39
1756017562443,23.5,24/08/2025 03:39
1756017572259,23.5,24/08/2025 03:39
1756017582430,23.5,24/08/2025 03:39
1756017592259,23.5,24/08/2025 03:39
1756017602265,23.4,24/08/2025 03:40
1756017612447,23.5,24/08/2025 03:40
1756017622428,23.4,24/08/2025 03:40
1756017632270,23.5,24/08/2025 03:40
1756017642482,23.5,24/08/2025 03:40
1756017652252,23.4,24/08/2025 03:40
1756017662431,23.6,24/08/2025 03:41
1756017672261,23.4,24/08/2025 03:41
1756017682611,23.4,24/08/2025 03:41
1756017692438,23.4,24/08/2025 03:41
1756017702818,23.4,24/08/2025 03:41
1756017712409,23.4,24/08/2025 03:41
1756017722421,23.4,24/08/2025 03:42
1756017732488,23.4,24/08/2025 03:42
1756017742416,23.5,24/08/2025 03:42
1756017752397,23.5,24/08/2025 03:42
1756017762686,23.4,24/08/2025 03:42
1756017772458,23.4,24/08/2025 03:42
1756017782424,23.4,24/08/2025 03:43
1756017792417,23.4,24/08/2025 03:43
1756017802402,23.3,24/08/2025 03:43
1756017812411,23.4,24/08/2025 03:43
1756017822731,23.4,24/08/2025 03:43
1756017832665,23.4,24/08/2025 03:43
1756017842836,23.3,24/08/2025 03:44
1756017852396,23.4,24/08/2025 03:44
1756017862406,23.4,24/08/2025 03:44
1756017872387,23.4,24/08/2025 03:44
1756017882391,23.3,24/08/2025 03:44
1756017892382,23.5,24/08/2025 03:44
1756017902361,23.3,24/08/2025 03:45
1756017912391,23.4,24/08/2025 03:45
1756017922373,23.4,24/08/2025 03:45
1756017932394,23.4,24/08/2025 03:45
1756017942358,23.3,24/08/2025 03:45
1756017952387,23.4,24/08/2025 03:45
1756017962432,23.3,24/08/2025 03:46
1756017972406,23.5,24/08/2025 03:46
1756017983249,23.4,24/08/2025 03:46
1756017992363,23.3,24/08/2025 03:46
1756018002346,23.3,24/08/2025 03:46
1756018012409,23.3,24/08/2025 03:46
1756018022371,23.4,24/08/2025 03:47
1756018032375,23.4,24/08/2025 03:47
1756018042401,23.4,24/08/2025 03:47
1756018052610,23.4,24/08/2025 03:47
1756018062346,23.3,24/08/2025 03:47
1756018072485,23.4,24/08/2025 03:47
1756018082349,23.4,24/08/2025 03:48
1756018092340,23.4,24/08/2025 03:48
1756018102342,23.3,24/08/2025 03:48
1756018112579,23.3,24/08/2025 03:48
1756018122614,23.4,24/08/2025 03:48
1756018132717,23.4,24/08/2025 03:48
1756018142507,23.3,24/08/2025 03:49
1756018152651,23.4,24/08/2025 03:49
1756018162618,23.4,24/08/2025 03:49
1756018172572,23.4,24/08/2025 03:49
1756018182333,23.3,24/08/2025 03:49
1756018192331,23.3,24/08/2025 03:49
1756018202312,23.3,24/08/2025 03:50
1756018212267,23.4,24/08/2025 03:50
1756018222303,23.2,24/08/2025 03:50
1756018232316,23.4,24/08/2025 03:50
1756018242288,23.2,24/08/2025 03:50
1756018252334,23.3,24/08/2025 03:50
1756018262538,23.3,24/08/2025 03:51
1756018272686,23.3,24/08/2025 03:51
1756018282635,23.2,24/08/2025 03:51
