timestamp,temp_amb1,date (America/Sao_Paulo)
1774639065882,25.6,2026-03-27 16:17:45.882000-03:00
1774639055934,25.5,2026-03-27 16:17:35.934000-03:00
1774639046160,25.6,2026-03-27 16:17:26.160000-03:00
1774639045410,25.6,2026-03-27 16:17:25.410000-03:00
1774639036110,25.5,2026-03-27 16:17:16.110000-03:00
1774639035472,25.5,2026-03-27 16:17:15.472000-03:00
1774639026054,25.5,2026-03-27 16:17:06.054000-03:00
1774639025453,25.5,2026-03-27 16:17:05.453000-03:00
1774639015948,25.7,2026-03-27 16:16:55.948000-03:00
1774639006655,25.5,2026-03-27 16:16:46.655000-03:00
1774638995922,25.6,2026-03-27 16:16:35.922000-03:00
1774638985974,25.6,2026-03-27 16:16:25.974000-03:00
1774638975939,25.5,2026-03-27 16:16:15.939000-03:00
1774638966619,25.5,2026-03-27 16:16:06.619000-03:00
1774638965507,25.5,2026-03-27 16:16:05.507000-03:00
1774638955997,25.6,2026-03-27 16:15:55.997000-03:00
1774638946155,25.6,2026-03-27 16:15:46.155000-03:00
1774638945464,25.6,2026-03-27 16:15:45.464000-03:00
1774638936139,25.6,2026-03-27 16:15:36.139000-03:00
1774638935496,25.6,2026-03-27 16:15:35.496000-03:00
1774638925925,25.6,2026-03-27 16:15:25.925000-03:00
1774638915905,25.5,2026-03-27 16:15:15.905000-03:00
1774638906036,25.6,2026-03-27 16:15:06.036000-03:00
1774638895965,25.6,2026-03-27 16:14:55.965000-03:00
1774638886811,25.5,2026-03-27 16:14:46.811000-03:00
1774638885496,25.5,2026-03-27 16:14:45.496000-03:00
1774638875983,25.4,2026-03-27 16:14:35.983000-03:00
1774638866110,25.5,2026-03-27 16:14:26.110000-03:00
1774638865464,25.5,2026-03-27 16:14:25.464000-03:00
1774638856172,25.5,2026-03-27 16:14:16.172000-03:00
1774638846091,25.6,2026-03-27 16:14:06.091000-03:00
1774638845486,25.6,2026-03-27 16:14:05.486000-03:00
1774638836130,25.5,2026-03-27 16:13:56.130000-03:00
1774638826020,25.7,2026-03-27 16:13:46.020000-03:00
1774638816006,25.6,2026-03-27 16:13:36.006000-03:00
